1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;vers.;1,690;122;1,568;2;1;1;4;1;3;2;0;2;13;2;11;25;2;23;46;6;40;182;14;168;178;19;159;360;33;327;247;17;230;653;56;597;112;10;102;109;6;103;221;16;205;208;9;199;273;24;249;184;8;176;98;4;94;53;5;48;1,037;66;971
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;insg.;30,970;2,419;28,551;54;15;39;64;14;50;138;35;103;367;81;286;999;105;894;1,622;250;1,372;3,956;276;3,680;4,060;314;3,746;8,016;590;7,426;5,132;334;4,798;14,770;1,174;13,596;2,386;171;2,215;1,837;147;1,690;4,223;318;3,905;3,309;237;3,072;4,361;353;4,008;2,238;152;2,086;1,238;108;1,130;831;77;754;16,200;1,245;14,955
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;voll.;9,166;555;8,611;9;1;8;9;3;6;17;7;10;37;17;20;122;10;112;194;38;156;1,100;38;1,062;1,190;56;1,134;2,290;94;2,196;1,600;83;1,517;4,084;215;3,869;756;56;700;545;48;497;1,301;104;1,197;991;61;930;1,509;101;1,408;767;41;726;336;23;313;178;10;168;5,082;340;4,742
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;vers.;820;44;776;2;1;1;1;0;1;0;0;0;3;0;3;6;0;6;12;1;11;68;2;66;79;3;76;147;5;142;128;8;120;287;14;273;51;5;46;59;3;56;110;8;102;113;5;108;141;9;132;92;3;89;54;3;51;23;2;21;533;30;503
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;insg.;9,986;599;9,387;11;2;9;10;3;7;17;7;10;40;17;23;128;10;118;206;39;167;1,168;40;1,128;1,269;59;1,210;2,437;99;2,338;1,728;91;1,637;4,371;229;4,142;807;61;746;604;51;553;1,411;112;1,299;1,104;66;1,038;1,650;110;1,540;859;44;815;390;26;364;201;12;189;5,615;370;5,245
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;voll.;8,550;493;8,057;8;1;7;7;2;5;17;7;10;36;16;20;114;10;104;182;36;146;1,013;28;985;1,127;52;1,075;2,140;80;2,060;1,503;73;1,430;3,825;189;3,636;697;50;647;504;43;461;1,201;93;1,108;936;56;880;1,394;89;1,305;735;37;698;312;22;290;147;7;140;4,725;304;4,421
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;vers.;758;38;720;2;1;1;1;0;1;0;0;0;3;0;3;5;0;5;11;1;10;60;1;59;75;2;73;135;3;132;120;7;113;266;11;255;48;5;43;58;3;55;106;8;98;99;2;97;133;9;124;80;3;77;52;3;49;22;2;20;492;27;465
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;insg.;9,308;531;8,777;10;2;8;8;2;6;17;7;10;39;16;23;119;10;109;193;37;156;1,073;29;1,044;1,202;54;1,148;2,275;83;2,192;1,623;80;1,543;4,091;200;3,891;745;55;690;562;46;516;1,307;101;1,206;1,035;58;977;1,527;98;1,429;815;40;775;364;25;339;169;9;160;5,217;331;4,886
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);voll.;7,044;349;6,695;4;0;4;6;2;4;14;7;7;32;14;18;94;8;86;150;31;119;832;20;812;953;38;915;1,785;58;1,727;1,229;52;1,177;3,164;141;3,023;584;35;549;402;30;372;986;65;921;768;32;736;1,153;70;1,083;614;22;592;251;14;237;108;5;103;3,880;208;3,672
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);vers.;670;28;642;2;1;1;1;0;1;0;0;0;3;0;3;3;0;3;9;1;8;58;1;57;59;2;57;117;3;114;110;6;104;236;10;226;44;4;40;51;3;48;95;7;88;91;1;90;117;5;112;69;2;67;46;2;44;16;1;15;434;18;416
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);insg.;7,714;377;7,337;6;1;5;7;2;5;14;7;7;35;14;21;97;8;89;159;32;127;890;21;869;1,012;40;972;1,902;61;1,841;1,339;58;1,281;3,400;151;3,249;628;39;589;453;33;420;1,081;72;1,009;859;33;826;1,270;75;1,195;683;24;659;297;16;281;124;6;118;4,314;226;4,088
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;voll.;474;41;433;2;1;1;1;0;1;3;0;3;3;2;1;13;1;12;22;4;18;57;2;55;61;7;54;118;9;109;86;6;80;226;19;207;34;6;28;31;2;29;65;8;57;49;4;45;76;4;72;36;4;32;15;2;13;7;0;7;248;22;226
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;vers.;46;6;40;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;8;0;8;10;0;10;8;1;7;19;1;18;2;1;1;4;0;4;6;1;5;3;1;2;8;2;6;7;1;6;2;0;2;1;0;1;27;5;22
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;insg.;520;47;473;2;1;1;1;0;1;3;0;3;3;2;1;14;1;13;23;4;19;59;2;57;69;7;62;128;9;119;94;7;87;245;20;225;36;7;29;35;2;33;71;9;62;52;5;47;84;6;78;43;5;38;17;2;15;8;0;8;275;27;248
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;voll.;1,032;103;929;2;0;2;0;0;0;0;0;0;1;0;1;7;1;6;10;1;9;124;6;118;113;7;106;237;13;224;188;15;173;435;29;406;79;9;70;71;11;60;150;20;130;119;20;99;165;15;150;85;11;74;46;6;40;32;2;30;597;74;523
